Indexer,BostonAllSection12AlcoholLicenses-HistoricalLicenseNum,BostonAllSection12AlcoholLicenses-Closing,BostonAllSection12AlcoholLicenses-Suffix,BostonAllSection12AlcoholLicenses-City,BostonBuildingEnergyAndWaterUseMetrics-ZIP,BostonBuildingEnergyAndWaterUseMetrics-Site_EUI,BostonBuildingEnergyAndWaterUseMetrics-GHG_Emissions,BostonEmployeeEarningsReport2015-REGULAR,BostonNailSalonPermits-Permit_Number,BostonUrbanOrchards-Site,col1-score,col2-score,col3-score,col4-score,col5-score,col6-score,col7-score,col8-score,col9-score,col10-score
44,CLBALV0009,2:00 AM,ST,Roxbury,2132,141.8,512.4,"$22,850.16",2013N-00166,UO71,0.0514851485149,0.0045261669024,0.0321782178218,0.0531824611033,0.029702970297,0.0379537953795,0.0223479490806,0.0209900990099,0.0148514851485,0.0173267326733
45,CLBALV0010,1:00 AM,AV,Roslindale,2111,72.5,420,"$14,272.20",2014N-00132,UO25,0.0514851485149,0.004243281471,0.0618811881188,0.054504950495,0.0123762376238,0.0367161716172,0.0650636492221,0.0233663366337,0.0148514851485,0.0173267326733
46,CLBALV0011,1:00 AM,ST,East Boston,2108,86.9,8033.5,"$109,064.72",2011N-00031,UO60,0.0514851485149,0.004243281471,0.0321782178218,0.0599909990999,0.0158415841584,0.0367161716172,0.0275813295615,0.015301530153,0.0148514851485,0.0173267326733
47,CLBALV0014,1:00 AM,AV,Hyde Park,2026,23.8,135.8,"$84,168.09",2012N-00131,UO61,0.0514851485149,0.004243281471,0.0618811881188,0.0696369636964,0.0490099009901,0.0301155115512,0.022630834512,0.0186138613861,0.0148514851485,0.0173267326733
48,CLBALV0016,MIDNIGHT,ST,Dorchester,2111,46,289,"$3,210.62",2013N-00159,UO73,0.0514851485149,0.247524752475,0.0321782178218,0.0583168316832,0.0123762376238,0.113861386139,0.0650636492221,0.0250825082508,0.0148514851485,0.0173267326733
49,CLBALV0020,1:00 AM,,South Boston,2111,85.2,605.7,$0.00,2014N-00157,UO89,0.0514851485149,0.004243281471,0.139085337105,0.0600247524752,0.0123762376238,0.0367161716172,0.022630834512,0.167128712871,0.0148514851485,0.0173267326733
50,CLBALV0021,2:00 AM,AV,Mattapan,2111,93.2,411.2,"$103,921.54",2011N-00058,UO66,0.0514851485149,0.0045261669024,0.0618811881188,0.0577351485149,0.0123762376238,0.0367161716172,0.022630834512,0.015301530153,0.0148514851485,0.0173267326733
51,CLBMW0001,1:00 AM,RD,South Boston,2210,219.1,3141.7,"$81,368.38",2013N-00005,UO64,0.0464246424642,0.004243281471,0.0636492220651,0.0600247524752,0.0435643564356,0.0376237623762,0.0275813295615,0.0209900990099,0.0148514851485,0.0173267326733
52,CLBMW0003,11:00 PM,AV,Boston,2210,129.3,5937.3,"$30,872.25",2014N-00020,UO75,0.0479647964796,0.0391089108911,0.0618811881188,0.0221947194719,0.0435643564356,0.0379537953795,0.03300330033,0.0209900990099,0.0148514851485,0.0173267326733
53,,9:00 p.m.,ST,Boston,2210,64.4,936.1,"$35,963.40",2011N-00037,UO24,0.264686468647,0.101210121012,0.0321782178218,0.0221947194719,0.0435643564356,0.0367161716172,0.022630834512,0.0233663366337,0.0148514851485,0.0173267326733
