{   'action_dim': 6,
#Games: 627 #Frames: 627000  Train_Max: 7136.25  Test_Score: 7107.90  Avg: 6960.07  ENV:  HalfCheetah-v2  DDPG Reward: 7784.43  PG Loss: -657.4980

#Games: 638 #Frames: 638000  Train_Max: 7278.92  Test_Score: 7182.80  Avg: 7009.44  ENV:  HalfCheetah-v2  DDPG Reward: 7678.51  PG Loss: -663.9006

#Games: 649 #Frames: 649000  Train_Max: 7246.13  Test_Score: 6969.73  Avg: 7066.18  ENV:  HalfCheetah-v2  DDPG Reward: 7648.39  PG Loss: -670.2567

Sync from RL --> Nevo
#Games: 660 #Frames: 660000  Train_Max: 7152.71  Test_Score: 7112.95  Avg: 7096.07  ENV:  HalfCheetah-v2  DDPG Reward: 7918.00  PG Loss: -675.7007

#Games: 671 #Frames: 671000  Train_Max: 7733.22  Test_Score: 7871.27  Avg: 7133.03  ENV:  HalfCheetah-v2  DDPG Reward: 7710.39  PG Loss: -681.2734

#Games: 682 #Frames: 682000  Train_Max: 7939.20  Test_Score: 7795.60  Avg: 7223.08  ENV:  HalfCheetah-v2  DDPG Reward: 7761.48  PG Loss: -686.8903

#Games: 693 #Frames: 693000  Train_Max: 7781.10  Test_Score: 7940.65  Avg: 7293.01  ENV:  HalfCheetah-v2  DDPG Reward: 7889.63  PG Loss: -692.2001

#Games: 704 #Frames: 704000  Train_Max: 8002.38  Test_Score: 7912.30  Avg: 7362.82  ENV:  HalfCheetah-v2  DDPG Reward: 7985.55  PG Loss: -697.7814

#Games: 715 #Frames: 715000  Train_Max: 7997.16  Test_Score: 7863.24  Avg: 7430.71  ENV:  HalfCheetah-v2  DDPG Reward: 8033.06  PG Loss: -703.1562

#Games: 726 #Frames: 726000  Train_Max: 8010.37  Test_Score: 7899.22  Avg: 7498.34  ENV:  HalfCheetah-v2  DDPG Reward: 7975.92  PG Loss: -708.5641

#Games: 737 #Frames: 737000  Train_Max: 7981.22  Test_Score: 7938.25  Avg: 7565.57  ENV:  HalfCheetah-v2  DDPG Reward: 8079.94  PG Loss: -714.0278

#Games: 748 #Frames: 748000  Train_Max: 7962.12  Test_Score: 7923.73  Avg: 7648.60  ENV:  HalfCheetah-v2  DDPG Reward: 8133.05  PG Loss: -719.3922

#Games: 759 #Frames: 759000  Train_Max: 7915.14  Test_Score: 7930.08  Avg: 7722.69  ENV:  HalfCheetah-v2  DDPG Reward: 8108.70  PG Loss: -724.3751

Sync from RL --> Nevo
#Games: 770 #Frames: 770000  Train_Max: 8062.72  Test_Score: 7879.15  Avg: 7818.73  ENV:  HalfCheetah-v2  DDPG Reward: 8158.93  PG Loss: -729.0861

#Games: 781 #Frames: 781000  Train_Max: 8177.64  Test_Score: 8120.82  Avg: 7895.35  ENV:  HalfCheetah-v2  DDPG Reward: 8126.11  PG Loss: -734.1182

#Games: 792 #Frames: 792000  Train_Max: 8180.31  Test_Score: 8168.73  Avg: 7920.30  ENV:  HalfCheetah-v2  DDPG Reward: 8145.45  PG Loss: -738.8313

#Games: 803 #Frames: 803000  Train_Max: 8119.87  Test_Score: 8069.42  Avg: 7957.62  ENV:  HalfCheetah-v2  DDPG Reward: 8302.60  PG Loss: -743.5264

Progress Saved
#Games: 814 #Frames: 814000  Train_Max: 8113.25  Test_Score: 8199.75  Avg: 7970.49  ENV:  HalfCheetah-v2  DDPG Reward: 8314.83  PG Loss: -747.8157

#Games: 825 #Frames: 825000  Train_Max: 8158.86  Test_Score: 8160.50  Avg: 7999.24  ENV:  HalfCheetah-v2  DDPG Reward: 8301.36  PG Loss: -752.3868

#Games: 836 #Frames: 836000  Train_Max: 8192.24  Test_Score: 8121.84  Avg: 8028.96  ENV:  HalfCheetah-v2  DDPG Reward: 8313.69  PG Loss: -756.4527

#Games: 847 #Frames: 847000  Train_Max: 8185.06  Test_Score: 8183.41  Avg: 8051.23  ENV:  HalfCheetah-v2  DDPG Reward: 8492.03  PG Loss: -760.4941

#Games: 858 #Frames: 858000  Train_Max: 8163.00  Test_Score: 6390.66  Avg: 8075.74  ENV:  HalfCheetah-v2  DDPG Reward: 8452.75  PG Loss: -764.4971

#Games: 869 #Frames: 869000  Train_Max: 8068.14  Test_Score: 8172.89  Avg: 7922.44  ENV:  HalfCheetah-v2  DDPG Reward: 8543.87  PG Loss: -767.5239

Sync from RL --> Nevo
#Games: 880 #Frames: 880000  Train_Max: 8111.47  Test_Score: 8169.22  Avg: 7946.72  ENV:  HalfCheetah-v2  DDPG Reward: 8561.30  PG Loss: -770.8535

#Games: 891 #Frames: 891000  Train_Max: 8574.51  Test_Score: 8513.10  Avg: 7975.72  ENV:  HalfCheetah-v2  DDPG Reward: 8495.29  PG Loss: -774.1508

#Games: 902 #Frames: 902000  Train_Max: 8488.52  Test_Score: 8547.13  Avg: 8014.95  ENV:  HalfCheetah-v2  DDPG Reward: 8514.13  PG Loss: -777.3862

